MonthStart ProductID  RegionID   Units                                   ASP                                     Revenue                                 COGS
---------- ---------- ---------- --------------------------------------- --------------------------------------- --------------------------------------- ---------------------------------------
2025-01-01 P001       R01        230000.00                               699.00                                  160770000.00                            99677400.00
2025-01-01 P001       R02        195500.00                               699.00                                  136654500.00                            84725790.00
2025-01-01 P001       R03        218500.00                               699.00                                  152731500.00                            94693530.00
2025-01-01 P001       R04        126500.00                               699.00                                  88423500.00                             54822570.00
2025-01-01 P002       R01        110400.00                               999.00                                  110289600.00                            63967968.00
2025-01-01 P002       R02        93840.00                                999.00                                  93746160.00                             54372772.80
2025-01-01 P002       R03        104880.00                               999.00                                  104775120.00                            60769569.60
2025-01-01 P002       R04        60720.00                                999.00                                  60659280.00                             35182382.40
2025-01-01 P003       R01        128800.00                               549.00                                  70711200.00                             42426720.00
2025-01-01 P003       R02        109480.00                               549.00                                  60104520.00                             36062712.00
2025-01-01 P003       R03        122360.00                               549.00                                  67175640.00                             40305384.00
2025-01-01 P003       R04        70840.00                                549.00                                  38891160.00                             23334696.00
2025-01-01 P004       R01        64400.00                                1199.00                                 77215600.00                             42468580.00
2025-01-01 P004       R02        54740.00                                1199.00                                 65633260.00                             36098293.00
2025-01-01 P004       R03        61180.00                                1199.00                                 73354820.00                             40345151.00
2025-01-01 P004       R04        35420.00                                1199.00                                 42468580.00                             23357719.00
2025-01-01 P005       R01        165600.00                               299.00                                  49514400.00                             24757200.00
2025-01-01 P005       R02        140760.00                               299.00                                  42087240.00                             21043620.00
2025-01-01 P005       R03        157320.00                               299.00                                  47038680.00                             23519340.00
2025-01-01 P005       R04        91080.00                                299.00                                  27232920.00                             13616460.00
2025-01-01 P006       R01        552000.00                               39.00                                   21528000.00                             5382000.00
2025-01-01 P006       R02        469200.00                               39.00                                   18298800.00                             4574700.00
2025-01-01 P006       R03        524400.00                               39.00                                   20451600.00                             5112900.00
2025-01-01 P006       R04        303600.00                               39.00                                   11840400.00                             2960100.00
2025-01-01 P007       R01        368000.00                               24.00                                   8832000.00                              1766400.00
2025-01-01 P007       R02        312800.00                               24.00                                   7507200.00                              1501440.00
2025-01-01 P007       R03        349600.00                               24.00                                   8390400.00                              1678080.00
2025-01-01 P007       R04        202400.00                               24.00                                   4857600.00                              971520.00
2025-01-01 P008       R01        1104000.00                              12.00                                   13248000.00                             3974400.00
2025-01-01 P008       R02        938400.00                               12.00                                   11260800.00                             3378240.00
2025-01-01 P008       R03        1048800.00                              12.00                                   12585600.00                             3775680.00
2025-01-01 P008       R04        607200.00                               12.00                                   7286400.00                              2185920.00
2025-01-01 P009       R01        736000.00                               15.00                                   11040000.00                             3864000.00
2025-01-01 P009       R02        625600.00                               15.00                                   9384000.00                              3284400.00
2025-01-01 P009       R03        699200.00                               15.00                                   10488000.00                             3670800.00
2025-01-01 P009       R04        404800.00                               15.00                                   6072000.00                              2125200.00
2025-01-01 P010       R01        828000.00                               8.00                                    6624000.00                              993600.00
2025-01-01 P010       R02        703800.00                               8.00                                    5630400.00                              844560.00
2025-01-01 P010       R03        786600.00                               8.00                                    6292800.00                              943920.00
2025-01-01 P010       R04        455400.00                               8.00                                    3643200.00                              546480.00
2025-02-01 P001       R01        225000.00                               699.00                                  157275000.00                            97510500.00
2025-02-01 P001       R02        191250.00                               699.00                                  133683750.00                            82883925.00
2025-02-01 P001       R03        213750.00                               699.00                                  149411250.00                            92634975.00
2025-02-01 P001       R04        123750.00                               699.00                                  86501250.00                             53630775.00
2025-02-01 P002       R01        108000.00                               999.00                                  107892000.00                            62577360.00
2025-02-01 P002       R02        91800.00                                999.00                                  91708200.00                             53190756.00
2025-02-01 P002       R03        102600.00                               999.00                                  102497400.00                            59448492.00
2025-02-01 P002       R04        59400.00                                999.00                                  59340600.00                             34417548.00
2025-02-01 P003       R01        126000.00                               549.00                                  69174000.00                             41504400.00
2025-02-01 P003       R02        107100.00                               549.00                                  58797900.00                             35278740.00
2025-02-01 P003       R03        119700.00                               549.00                                  65715300.00                             39429180.00
2025-02-01 P003       R04        69300.00                                549.00                                  38045700.00                             22827420.00
2025-02-01 P004       R01        63000.00                                1199.00                                 75537000.00                             41545350.00
2025-02-01 P004       R02        53550.00                                1199.00                                 64206450.00                             35313547.50
2025-02-01 P004       R03        59850.00                                1199.00                                 71760150.00                             39468082.50
2025-02-01 P004       R04        34650.00                                1199.00                                 41545350.00                             22849942.50
2025-02-01 P005       R01        162000.00                               299.00                                  48438000.00                             24219000.00
